"#cdc0b0","#cdc0b0","antiquewhite3","antiekwit3"
"#8b8378","#8b8378","antiquewhite4","antiekwit4"
"#fff5ee","#fff5ee","seashell","schelp"
"#eee5de","#eee5de","seashell2","schelp2"
"#cdc5bf","#cdc5bf","seashell3","schelp3"
"#8b8682","#8b8682","seashell4","schelp4"
"#fffafa","#fffafa","snow","sneeuw"
"#eee9e9","#eee9e9","snow2","sneeuw2"
"#cdc9c9","#cdc9c9","snow3","sneeuw3"
"#8b8989","#8b8989","snow4","sneeuw4"

